row,col,cell_idx,x_center_m,y_center_m,lon,lat,is_riau
0,0,0,-1442500.0,-352500.0,100.03818963282838,-1.1147762809017843,False
0,1,1,-1437500.0,-352500.0,100.08311374654498,-1.1153103590699789,False
0,2,2,-1432500.0,-352500.0,100.12803790371287,-1.1158425828939276,False
0,3,3,-1427500.0,-352500.0,100.17296210418097,-1.1163729523725057,False
0,4,4,-1422500.0,-352500.0,100.21788634779826,-1.1169014675052698,False
0,5,5,-1417500.0,-352500.0,100.2628106344137,-1.1174281282907232,False
0,6,6,-1412500.0,-352500.0,100.30773496387619,-1.1179529347283532,False
0,7,7,-1407500.0,-352500.0,100.35265933603469,-1.1184758868170315,False
0,8,8,-1402500.0,-352500.0,100.39758375073818,-1.118996984555932,False
0,9,9,-1397500.0,-352500.0,100.44250820783556,-1.1195162279440567,False
0,10,10,-1392500.0,-352500.0,100.4874327071758,-1.1200336169804264,False
0,11,11,-1387500.0,-352500.0,100.53235724860781,-1.1205491516642598,False
0,12,12,-1382500.0,-352500.0,100.57728183198057,-1.121062831994699,False
0,13,13,-1377500.0,-352500.0,100.62220645714301,-1.1215746579706387,False
0,14,14,-1372500.0,-352500.0,100.66713112394405,-1.122084629591419,False
0,15,15,-1367500.0,-352500.0,100.71205583223264,-1.122592746855961,False
0,16,16,-1362500.0,-352500.0,100.7569805818577,-1.1230990097634261,False
0,17,17,-1357500.0,-352500.0,100.8019053726682,-1.1236034183129195,False
0,18,18,-1352500.0,-352500.0,100.84683020451307,-1.1241059725034308,False
0,19,19,-1347500.0,-352500.0,100.89175507724123,-1.1246066723341333,False
0,20,20,-1342500.0,-352500.0,100.93667999070162,-1.1251055178040326,False
0,21,21,-1337500.0,-352500.0,100.98160494474315,-1.125602508912499,False
0,22,22,-1332500.0,-352500.0,101.0265299392148,-1.1260976456585658,False
0,23,23,-1327500.0,-352500.0,101.07145497396549,-1.126590928041336,False
0,24,24,-1322500.0,-352500.0,101.1163800488441,-1.1270823560596137,False
0,25,25,-1317500.0,-352500.0,101.16130516369962,-1.127571929712939,False
0,26,26,-1312500.0,-352500.0,101.20623031838096,-1.1280596490002448,False
0,27,27,-1307500.0,-352500.0,101.25115551273706,-1.1285455139207563,False
0,28,28,-1302500.0,-352500.0,101.29608074661681,-1.1290295244736925,False
0,29,29,-1297500.0,-352500.0,101.34100601986917,-1.1295116806578234,False
0,30,30,-1292500.0,-352500.0,101.38593133234305,-1.1299919824725784,False
0,31,31,-1287500.0,-352500.0,101.4308566838874,-1.1304704299169217,False
0,32,32,-1282500.0,-352500.0,101.47578207435112,-1.1309470229900913,False
0,33,33,-1277500.0,-352500.0,101.52070750358313,-1.1314217616913773,False
0,34,34,-1272500.0,-352500.0,101.56563297143238,-1.1318946460194723,False
