cell_idx,row,col,is_riau,peat_frac,peat_depth_m
173,2,3,False,0.0,0.0
174,2,4,False,0.0,0.0
175,2,5,False,0.0,0.0
176,2,6,False,0.0,0.0
177,2,7,False,0.0,0.0
178,2,8,False,0.0,0.0
179,2,9,False,0.0,0.0
180,2,10,False,0.0,0.0
181,2,11,False,0.0,0.0
182,2,12,False,0.0,0.0
183,2,13,False,0.0,0.0
184,2,14,False,0.0,0.0
185,2,15,False,0.0,0.0
186,2,16,False,0.0,0.0
187,2,17,False,0.0,0.0
188,2,18,False,0.0,0.0
189,2,19,False,0.0,0.0
190,2,20,False,0.0,0.0
191,2,21,False,0.0,0.0
192,2,22,False,0.0,0.0
193,2,23,False,0.0,0.0
194,2,24,False,0.0,0.0
195,2,25,False,0.0,0.0
196,2,26,False,0.0,0.0
197,2,27,False,0.0,0.0
198,2,28,False,0.0,0.0
199,2,29,False,0.0,0.0
200,2,30,False,0.0,0.0
201,2,31,False,0.0,0.0
202,2,32,False,0.0,0.0
203,2,33,False,0.0,0.0
204,2,34,False,0.0,0.0
205,2,35,False,0.0,0.0
206,2,36,False,0.0,0.0
207,2,37,False,0.0,0.0
208,2,38,False,0.0,0.0
209,2,39,False,0.0,0.0
210,2,40,False,0.0,0.0
211,2,41,False,0.0,0.0
212,2,42,False,0.0,0.0
213,2,43,False,0.0,0.0
214,2,44,False,0.0,0.0
215,2,45,False,0.0,0.0
216,2,46,False,0.0,0.0
217,2,47,False,0.0,0.0
218,2,48,False,0.0,0.0
219,2,49,False,0.0,0.0
220,2,50,False,0.0,0.0
221,2,51,False,0.0,0.0
222,2,52,False,0.0,0.0
223,2,53,False,0.0,0.0
224,2,54,True,0.0,0.0
225,2,55,True,0.0,0.0
226,2,56,True,0.0,0.0
227,2,57,True,0.0,0.0
228,2,58,True,0.0,0.0
229,2,59,True,0.0,0.0
230,2,60,False,0.0,0.0
231,2,61,False,0.0,0.0
232,2,62,False,0.0,0.0
233,2,63,False,0.0,0.0
234,2,64,False,0.0,0.0
235,2,65,False,0.0,0.0
236,2,66,False,0.0,0.0
237,2,67,False,0.0,0.0
238,2,68,False,0.0,0.0
239,2,69,False,0.0,0.0
240,2,70,False,0.0,0.0
241,2,71,False,0.0,0.0
242,2,72,False,0.0,0.0
243,2,73,False,0.0,0.0
244,2,74,False,0.0,0.0
245,2,75,False,0.0,0.0
246,2,76,False,0.0,0.0
247,2,77,False,0.0,0.0
248,2,78,False,0.0,0.0
249,2,79,False,0.0,0.0
250,2,80,False,0.0,0.0
251,2,81,False,0.0,0.0
252,2,82,False,0.0,0.0
253,2,83,False,0.0,0.0
254,2,84,False,0.0,0.0
255,3,0,False,0.0,0.0
256,3,1,False,0.0,0.0
257,3,2,False,0.0,0.0
258,3,3,False,0.0,0.0
259,3,4,False,0.0,0.0
260,3,5,False,0.0,0.0
261,3,6,False,0.0,0.0
262,3,7,False,0.0,0.0
263,3,8,False,0.0,0.0
264,3,9,False,0.0,0.0
265,3,10,False,0.0,0.0
266,3,11,False,0.0,0.0
267,3,12,False,0.0,0.0
268,3,13,False,0.0,0.0
269,3,14,False,0.0,0.0
270,3,15,False,0.0,0.0
271,3,16,False,0.0,0.0
272,3,17,False,0.0,0.0
273,3,18,False,0.0,0.0
274,3,19,False,0.0,0.0
275,3,20,False,0.0,0.0
276,3,21,False,0.0,0.0
277,3,22,False,0.0,0.0
278,3,23,False,0.0,0.0
279,3,24,False,0.0,0.0
280,3,25,False,0.0,0.0
281,3,26,False,0.0,0.0
282,3,27,False,0.0,0.0
283,3,28,False,0.0,0.0
284,3,29,False,0.0,0.0
285,3,30,False,0.0,0.0
286,3,31,False,0.0,0.0
287,3,32,False,0.0,0.0
288,3,33,False,0.0,0.0
289,3,34,False,0.0,0.0
290,3,35,False,0.0,0.0
291,3,36,False,0.0,0.0
292,3,37,False,0.0,0.0
293,3,38,False,0.0,0.0
294,3,39,False,0.0,0.0
295,3,40,False,0.0,0.0
296,3,41,False,0.0,0.0
297,3,42,False,0.0,0.0
298,3,43,False,0.0,0.0
299,3,44,False,0.0,0.0
300,3,45,False,0.0,0.0
301,3,46,False,0.0,0.0
302,3,47,False,0.0,0.0
303,3,48,False,0.0,0.0
304,3,49,False,0.0,0.0
305,3,50,False,0.0,0.0
306,3,51,False,0.0,0.0
307,3,52,False,0.0,0.0
308,3,53,True,0.0,0.0
309,3,54,True,0.0,0.0
310,3,55,True,0.0,0.0
311,3,56,True,0.0,0.0
312,3,57,True,0.0,0.0
313,3,58,True,0.0,0.0
314,3,59,True,0.0,0.0
315,3,60,True,0.0,0.0
316,3,61,False,0.0,0.0
317,3,62,False,0.0,0.0
318,3,63,False,0.0,0.0
319,3,64,False,0.0,0.0
320,3,65,False,0.0,0.0
321,3,66,False,0.0,0.0
322,3,67,False,0.0,0.0
323,3,68,False,0.0,0.0
324,3,69,False,0.0,0.0
325,3,70,False,0.0,0.0
326,3,71,False,0.0,0.0
327,3,72,False,0.0,0.0
328,3,73,False,0.0,0.0
329,3,74,False,0.0,0.0
330,3,75,False,0.0,0.0
331,3,76,False,0.0,0.0
332,3,77,False,0.0,0.0
333,3,78,False,0.0,0.0
334,3,79,False,0.0,0.0
335,3,80,False,0.0,0.0
336,3,81,False,0.0,0.0
337,3,82,False,0.0,0.0
338,3,83,False,0.0,0.0
339,3,84,False,0.0,0.0
340,4,0,False,0.0,0.0
341,4,1,False,0.0,0.0
342,4,2,False,0.0,0.0
343,4,3,False,0.0,0.0
344,4,4,False,0.0,0.0
345,4,5,False,0.0,0.0
346,4,6,False,0.0,0.0
347,4,7,False,0.0,0.0
348,4,8,False,0.0,0.0
349,4,9,False,0.0,0.0
350,4,10,False,0.0,0.0
351,4,11,False,0.0,0.0
352,4,12,False,0.0,0.0
353,4,13,False,0.0,0.0
354,4,14,False,0.0,0.0
355,4,15,False,0.0,0.0
356,4,16,False,0.0,0.0
357,4,17,False,0.0,0.0
358,4,18,False,0.0,0.0
359,4,19,False,0.0,0.0
360,4,20,False,0.0,0.0
361,4,21,False,0.0,0.0
362,4,22,False,0.0,0.0
363,4,23,False,0.0,0.0
364,4,24,False,0.0,0.0
365,4,25,False,0.0,0.0
366,4,26,False,0.0,0.0
367,4,27,False,0.0,0.0
